symbol,quarters,beat_rate,avg_gap_beat,avg_gap_miss,avg_abs_gap,avg_drift_beat,big_gap_rate,beat_gap_up_pct,avg_runup_5d,predictability
NEE,4,100.0,2.6,0.0,2.6,0.5,0.0,100.0,1.1,100.0
AAPL,4,100.0,0.4,0.0,0.6,0.3,0.0,75.0,0.6,75.0
GOOGL,4,100.0,0.7,0.0,0.8,8.5,0.0,75.0,-1.2,75.0
MA,4,100.0,0.0,0.0,0.7,-1.3,0.0,75.0,0.8,75.0
XOM,4,100.0,0.7,0.0,1.0,2.0,0.0,75.0,-0.3,75.0
AMZN,4,75.0,0.7,-1.9,1.0,1.6,0.0,100.0,-0.6,75.0
KO,4,100.0,0.3,0.0,0.9,2.1,0.0,75.0,1.2,75.0
AMD,4,75.0,1.9,-4.1,2.5,22.0,0.0,100.0,-0.0,75.0
TMO,4,75.0,5.2,-2.9,4.6,5.5,25.0,100.0,0.0,75.0
WMT,4,75.0,1.6,0.5,1.3,5.1,0.0,100.0,0.1,75.0
MRK,4,100.0,2.2,0.0,3.7,0.1,25.0,75.0,0.3,75.0
ABBV,4,100.0,1.7,0.0,2.5,-3.0,0.0,75.0,1.3,75.0
CVX,4,100.0,1.1,0.0,1.3,-0.5,0.0,75.0,-0.3,75.0
CSCO,4,100.0,1.0,0.0,1.7,3.1,0.0,75.0,3.0,75.0
GE,4,100.0,0.7,0.0,2.3,2.4,0.0,75.0,-1.2,75.0
DHR,4,100.0,1.9,0.0,3.0,-0.4,25.0,75.0,0.3,75.0
QCOM,4,100.0,0.2,0.0,0.4,-1.9,0.0,75.0,-1.0,75.0
MRNA,4,100.0,2.8,0.0,4.9,11.1,25.0,75.0,-4.5,75.0
ENPH,4,75.0,4.4,0.5,3.4,-8.7,0.0,100.0,2.2,75.0
JD,4,75.0,1.4,2.9,1.7,-8.9,0.0,100.0,1.2,75.0
NIO,4,75.0,1.2,1.6,1.3,3.3,0.0,100.0,0.3,75.0
ARM,4,75.0,3.8,-3.3,3.7,4.4,25.0,100.0,-2.1,75.0
REGN,4,75.0,3.1,-2.7,3.0,3.3,25.0,100.0,-1.0,75.0
CDNS,4,100.0,0.4,0.0,0.8,6.3,0.0,75.0,-1.3,75.0
KLAC,4,75.0,1.8,4.9,2.6,5.1,0.0,100.0,-1.4,75.0
LRCX,4,100.0,3.6,0.0,3.9,10.4,50.0,75.0,-0.3,75.0
ZS,4,100.0,0.1,0.0,1.0,-7.7,0.0,75.0,2.8,75.0
MU,4,100.0,1.3,0.0,1.5,16.0,0.0,75.0,3.6,75.0
AMGN,4,100.0,2.1,0.0,2.9,0.4,0.0,75.0,-0.3,75.0
HON,4,100.0,0.9,0.0,1.0,2.3,0.0,75.0,1.0,75.0
TSM,4,100.0,2.3,0.0,2.7,4.9,0.0,75.0,0.1,75.0
UPST,4,100.0,3.2,0.0,3.2,1.6,0.0,75.0,-9.0,75.0
GILD,4,100.0,-0.2,0.0,0.6,5.6,0.0,50.0,1.1,50.0
INTC,4,75.0,3.6,2.0,4.7,10.0,50.0,67.0,3.8,50.0
BAC,4,100.0,0.3,0.0,1.5,-1.0,0.0,50.0,-0.7,50.0
CRM,4,100.0,-0.8,0.0,1.1,-4.1,0.0,50.0,-0.2,50.0
NVDA,4,100.0,-0.1,0.0,2.5,1.5,0.0,50.0,4.7,50.0
JNJ,4,75.0,-1.7,0.2,2.6,3.2,25.0,67.0,2.0,50.0
MSFT,4,100.0,-0.3,0.0,1.4,0.4,0.0,50.0,-0.3,50.0
UPS,4,75.0,0.7,3.5,1.8,3.9,0.0,67.0,-1.6,50.0
ORCL,4,75.0,0.9,-0.4,1.0,7.5,0.0,67.0,-1.3,50.0
LLY,4,75.0,2.7,-2.5,2.9,-2.3,25.0,67.0,-0.2,50.0
PEP,4,75.0,1.2,-0.2,1.4,5.6,0.0,67.0,0.9,50.0
AMAT,4,100.0,0.7,0.0,1.3,3.5,0.0,50.0,0.6,50.0
CRWD,4,100.0,0.0,0.0,1.2,-3.3,0.0,50.0,2.5,50.0
TEAM,4,100.0,-1.7,0.0,3.8,-4.9,25.0,50.0,-2.0,50.0
PLUG,4,50.0,19.5,-4.2,11.8,-6.3,50.0,100.0,3.1,50.0
MARA,4,50.0,1.0,6.7,3.8,3.4,25.0,100.0,-4.1,50.0
PDD,4,50.0,1.2,2.7,2.0,4.9,0.0,100.0,-0.2,50.0
SNAP,4,75.0,1.1,7.6,2.7,-9.5,25.0,67.0,-1.0,50.0
EDIT,4,75.0,1.5,-2.6,1.8,-1.4,0.0,67.0,-0.7,50.0
DDOG,4,100.0,1.5,0.0,3.1,3.1,25.0,50.0,-1.6,50.0
PLTR,4,100.0,-2.0,0.0,2.9,14.2,0.0,50.0,-6.0,50.0
SNOW,4,100.0,-1.2,0.0,3.5,5.4,25.0,50.0,2.7,50.0
HOOD,4,100.0,-0.3,0.0,1.8,3.4,0.0,50.0,4.1,50.0
SMCI,4,50.0,4.1,2.8,5.3,-6.6,25.0,100.0,-0.2,50.0
IBM,4,100.0,-0.1,0.0,1.3,0.4,0.0,50.0,0.8,50.0
CAT,4,50.0,2.6,0.5,1.5,18.9,0.0,100.0,0.5,50.0
RTX,4,100.0,0.3,0.0,0.9,4.4,0.0,50.0,0.4,50.0
LOW,4,100.0,0.1,0.0,0.9,3.6,0.0,50.0,-0.9,50.0
GS,4,100.0,0.7,0.0,1.5,1.6,0.0,50.0,-0.0,50.0
BLK,4,100.0,-0.1,0.0,1.1,0.5,0.0,50.0,1.5,50.0
SOFI,4,100.0,0.4,0.0,3.2,7.3,0.0,50.0,-2.4,50.0
MS,4,100.0,0.1,0.0,1.2,2.5,0.0,50.0,-0.8,50.0
VRTX,4,50.0,2.4,-0.1,1.3,3.5,0.0,100.0,-0.8,50.0
SYK,4,100.0,-0.5,0.0,0.7,2.1,0.0,50.0,0.7,50.0
ADP,4,100.0,-0.4,0.0,0.8,-3.6,0.0,50.0,0.8,50.0
MDLZ,4,100.0,0.7,0.0,1.0,-1.0,0.0,50.0,0.8,50.0
FTNT,4,100.0,-0.8,0.0,1.7,2.5,0.0,50.0,-1.0,50.0
META,4,75.0,-0.8,-2.3,2.0,-0.3,0.0,33.0,-1.2,25.0
JPM,4,75.0,-0.7,1.0,0.8,1.2,0.0,33.0,0.7,25.0
BRK-B,4,50.0,-0.1,-0.5,0.7,-3.6,0.0,50.0,0.8,25.0
HD,4,25.0,0.9,0.2,0.9,-3.0,0.0,100.0,-1.1,25.0
PG,4,75.0,-0.1,0.1,0.7,0.7,0.0,33.0,0.7,25.0
MCD,4,50.0,0.5,-0.4,1.0,3.5,0.0,50.0,0.4,25.0
V,4,50.0,-0.5,0.3,1.1,-0.8,0.0,50.0,1.3,25.0
UNH,4,25.0,0.9,2.1,1.9,2.0,0.0,100.0,1.5,25.0
INTU,4,100.0,-0.7,0.0,1.4,-2.5,0.0,25.0,-2.0,25.0
COIN,4,50.0,-0.9,3.0,3.2,6.6,0.0,50.0,-0.6,25.0
CRSP,4,50.0,0.9,-0.0,1.9,6.7,0.0,50.0,-3.5,25.0
RIVN,4,50.0,2.6,-1.2,2.7,-11.4,25.0,50.0,-2.4,25.0
RBLX,4,75.0,0.4,-4.3,3.1,-2.3,0.0,33.0,0.4,25.0
LCID,4,25.0,4.5,1.3,4.0,-0.8,0.0,100.0,-1.6,25.0
TXN,4,50.0,0.2,0.3,1.6,-9.6,0.0,50.0,-0.3,25.0
ACN,4,100.0,-0.1,0.0,1.6,-1.7,0.0,25.0,0.3,25.0
LIN,4,25.0,1.6,-0.3,1.1,-2.2,0.0,100.0,0.7,25.0
ADBE,4,100.0,-1.4,0.0,1.8,0.2,0.0,25.0,0.7,25.0
COST,4,75.0,0.3,-0.8,0.8,-4.4,0.0,33.0,1.4,25.0
AMC,4,75.0,-3.0,1.7,4.3,-4.6,25.0,33.0,-3.1,25.0
WDAY,4,100.0,-1.2,0.0,1.5,-5.8,0.0,25.0,-0.7,25.0
SNPS,4,50.0,-0.7,-2.1,1.4,-3.2,0.0,50.0,0.8,25.0
ISRG,4,100.0,-0.9,0.0,1.0,2.0,0.0,25.0,0.2,25.0
BKNG,4,75.0,-0.1,-0.6,1.1,0.5,0.0,33.0,0.7,25.0
MRVL,4,75.0,0.2,-7.4,3.9,0.0,25.0,33.0,6.7,25.0
PM,4,75.0,-1.3,-0.1,1.0,-2.7,0.0,0.0,0.7,0.0
ABT,4,25.0,-0.7,-0.3,0.5,-0.3,0.0,0.0,1.4,0.0
NFLX,4,75.0,-2.3,-2.3,2.3,1.5,0.0,0.0,0.4,0.0
AVGO,4,75.0,-1.2,2.5,1.6,1.0,0.0,0.0,4.6,0.0
TSLA,4,25.0,-2.6,0.5,3.7,-3.7,0.0,0.0,-4.7,0.0
PANW,4,100.0,-0.5,0.0,0.5,-2.7,0.0,0.0,-0.7,0.0
SBUX,4,0.0,0.0,0.8,1.1,0.0,0.0,0.0,0.2,0.0
CB,4,100.0,-0.3,0.0,0.3,-3.5,0.0,0.0,1.5,0.0
BNTX,4,25.0,-0.8,2.1,1.8,15.4,0.0,0.0,-1.2,0.0
AFRM,4,25.0,-3.0,0.7,1.5,0.5,0.0,0.0,-4.0,0.0
NU,4,50.0,-2.9,1.8,2.3,-0.8,0.0,0.0,-0.6,0.0
SHOP,4,25.0,-2.3,0.2,1.9,9.2,0.0,0.0,-3.4,0.0
FSLR,4,25.0,-1.6,2.6,2.4,9.9,0.0,0.0,2.9,0.0
RIOT,4,50.0,-0.4,8.8,4.6,18.5,25.0,0.0,1.9,0.0
PINS,4,0.0,0.0,0.3,1.0,0.0,0.0,0.0,-3.2,0.0
BABA,4,0.0,0.0,2.3,2.3,0.0,25.0,0.0,1.3,0.0
